city_name,country,population_density,avg_income,internet_penetration,avg_rent,air_quality_index,public_transport_score,happiness_score,green_space_ratio
New Vista,Africa,2656,920,47.5,380,106,46.8,3.4,23.1
Stoneborough,Africa,2716,600,44.8,210,95,28.7,4.1,36.7
North River,Africa,3701,670,36.2,240,130,31.1,2.6,40.3
Bayville,Africa,1845,790,47.5,280,62,27.3,4.6,42.3
West City,Africa,1418,980,52.6,390,65,36,5.6,38.2
East Wood,Africa,2961,560,45.7,190,96,30.1,2.9,36.8
Parkburg,Africa,3088,970,45.2,370,70,42.2,4.5,34.5
Old Field,Africa,1985,1050,46.8,260,80,38.5,5.2,52.3
Hillford,Africa,2337,1090,50.4,350,85,29,4.8,52.2
Valleyhaven,Africa,2215,1020,41.3,330,125,33.3,3.1,40.7
Fielddale,Africa,1974,740,43.2,270,77,23.7,4,47.7
Riverdale,Africa,1868,940,45.7,240,85,45.5,4.6,50.7
New Valley,Africa,2017,600,52,190,97,47.5,3.2,26.2
San Hill,Africa,1662,880,39.8,310,83,28.2,4.8,56.9
San Springs,Africa,2211,740,48.5,250,69,40.4,4.4,44.4
Hillborough,Africa,1774,850,46,320,89,44,4.3,31.8
Ridgeport,Africa,3066,930,49.2,260,106,28.1,3.1,40.7
South Bridge,Africa,421,750,37.6,210,82,32.7,3.7,33.7
New Beach,Africa,2640,810,38.6,240,67,37,4.2,36.3
Pointville,Africa,2270,1010,49.3,460,77,29.6,4.7,39.3
New Bay,Africa,1161,960,47.5,350,96,41.1,3.6,34.2
North Bridge,Africa,1556,710,38.2,280,62,36.2,4.6,50.1
Old Town,Africa,2859,940,39.4,390,106,32.9,3.7,47.3
San Forest,Africa,2118,1000,54.4,350,65,37.6,5.6,52.7
Parkdale,Africa,2460,1240,37.6,480,67,41.1,4.4,37.4
New Ridge,Africa,2147,1110,48.6,350,88,39.5,4,24.3
South River,Africa,1716,1080,45.6,340,44,51.4,4.2,34.2
Springston,Oceania,885,3910,100,1370,24,64.2,8.5,35.1
Pointton,Oceania,1045,3190,75,890,33,61.1,8.5,40.9
South Park,Oceania,971,3890,96.5,1600,32,62.5,8.5,49.2
East Falls,Oceania,1064,4210,94,1290,33,58,8.5,35.6
Old Ridge,Oceania,1481,4290,96.8,1360,34,51.6,8.5,58
Fallsford,Oceania,835,4300,100,1800,26,43.6,8.5,34.1
North Point,Oceania,1613,4200,100,1310,32,51.6,8.5,15.3
North Town,Oceania,1015,3270,100,1170,36,53.9,8.3,36.7
Valleydale,Oceania,533,3610,90.9,1280,38,58.8,8.3,28.3
Riverton,Oceania,915,3360,94.8,1330,36,59,8.5,30.7
South Point,Oceania,849,3000,82.9,1170,41,57,8.5,41.4
Vistaton,Oceania,730,2820,68.8,1080,63,54.8,7.2,35.3
Hillburg,Oceania,737,2980,79.3,720,51,38.2,7.9,36.5
Mount Wood,Oceania,737,4360,53.9,1610,26,55.4,8.5,36.1
South Bay,Oceania,1647,3950,76.4,1210,57,56.2,8.5,36.9
Fieldshire,Oceania,2042,3620,87.8,1170,43,67.6,8.5,48.5
Gardenshire,Oceania,1124,3520,88.3,1320,52,63.2,8.5,47.4
South Stone,Oceania,594,4220,72.7,1850,22,65.1,8.5,32.5
Old Beach,Oceania,1605,4400,100,1510,41,60.4,8.5,38.4
Vistashire,Oceania,1007,4130,86.2,1570,38,56.8,8.5,37.5
New Falls,Oceania,2554,3360,83.5,1150,26,29.9,8.4,29.6
Mount Stone,Oceania,1274,4080,85.3,1430,53,79.1,8.5,31.8
San Stone,Oceania,1529,3800,95,1340,39,69.7,8.5,37.1
Bridgeport,Oceania,1474,3620,76.3,1430,47,65.9,8.5,46.7
Beachdale,Oceania,1734,3700,96.4,1090,35,54.7,8.5,28
New Forest,Oceania,1255,2890,86.4,940,28,53.4,8.5,35.2
Fallsland,Oceania,1107,4600,89.1,1300,50,67.7,8.5,39.9
Ridgeland,Oceania,1743,3500,78,1260,36,44.3,8.3,23.3
Port Forest,Oceania,353,2500,80.2,840,40,29.9,7.6,36.1
West Falls,Oceania,761,3180,68.4,1220,45,48.2,8.5,46.8
Old Harbor,Oceania,1004,4620,100,1500,40,64.2,8.5,50.2
Ridgehaven,Oceania,1652,4500,100,1650,44,49.3,8.5,37.4
North Field,Oceania,836,3910,98.7,1340,40,55.7,8.5,38.6
Bridgeford,Oceania,758,3490,91.2,1390,36,54.1,8.5,44.6
Townshire,Oceania,1235,4330,86.4,1150,41,75.3,8.5,39.9
